place_id,nombre,plaza,direccion,telefono,sitio_web,mcc,familia,payment_signal,signal_evidence,intent_score,eligible,disqualifier,outreach_message,rationale,resenas_totales,calificacion,trace_id,schema_version
ChIJWe6zZ8wezoURExX2dE25Dfg,Mr. Taco,Ciudad de México,"56600, Manzana 031, Chalco Centro, 56600 Chalco de Díaz Covarrubias, Méx., Mexico",55 5975 3334,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que en Mr. Taco tienen un enorme flujo de clientes comiendo tacos y pozole, pero solo reciben efectivo. Con una terminal Konfío evitas perder cuentas grandes por falta de efectivo y agilizas el cobro. ¿Te comparto opciones?",Taquería con más de 1200 reseñas que opera exclusivamente en efectivo.,1288,4.0,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJr7jZNADAYoYRpr11XSDzip8,Antojitos La Casita,Monterrey,"C/ Hidalgo 201, Centro, 67100 Guadalupe, N.L., Mexico",81 8355 9711,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté que Antojitos La Casita tiene más de mil reseñas y gran clientela, pero solo manejan efectivo. Con la terminal Konfío puedes aceptar cobros con tarjeta en mesas, agilizando el servicio y elevando el consumo de tus clientes.",Restaurante con volumen masivo de clientes y operación limitada únicamente a efectivo.,1240,4.1,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJn9WA86mTYoYRLKCfZ4sndno,Taqueria Los Arcos,Monterrey,"Av. de las Fuentes 632, Fuentes de Escobedo 1er Sector, 66057 Cdad. Gral. Escobedo, N.L., Mexico",81 1896 5434,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Taquería Los Arcos recibe a cientos de comensales por sus tacos pero solo aceptan efectivo. Con una terminal Konfío cobras directo en mesa o caja con tarjeta, evitando filas y acumulando historial por cada cobro. ¿Hacemos una llamada breve?",Taquería de alto volumen (701 reseñas) que cobra únicamente en efectivo según la ficha de Google.,701,4.5,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJQQqvCeb90YURs7iE-cdZxX0,La Tapatia Taqueria,Ciudad de México,"Aldama 76, San Pablo, Iztapalapa, 09000 Ciudad de México, CDMX, Mexico",55 3973 8771,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que La Tapatia Taqueria tiene casi dos mil opiniones y excelente birria, pero solo aceptan efectivo. Con la terminal Konfío puedes cobrar con tarjeta rápido y evitar perder ventas de comensales sin efectivo.",Taquería con altísimo volumen de reseñas (1931) y señal confirmada de solo efectivo.,1931,4.1,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJx4Ux6FAdzoURo4zhsZksDjg,Pozoleria La Méxicana,Ciudad de México,"Calle Norte 13 Avenida Cuauhtémoc esquina, Manzana 007, Concepción, 56615 Valle de Chalco Solidaridad, Méx., Mexico",55 3664 2887,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que Pozolería La Mexicana tiene más de 750 opiniones en Google y figura como solo efectivo. Con tanto comensal, cobrar con terminal te evitará perder mesas grandes y construirá tu historial comercial. ¿Hablamos?",Pozolería de alto volumen (759 reseñas) con señal confirmada de solo efectivo.,759,4.0,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJWfmB4JbMKIQRC3gZ_zeyuT8,Pan La Salteña,Guadalajara,"López Rayon 79, Santuario, 45430 Zapotlanejo, Jal., Mexico",373 734 9465,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, Pan La Salteña tiene un flujo enorme con más de 1400 reseñas. Al aceptar solo efectivo muchos clientes se limitan. Con la terminal Konfío cobras con tarjeta rapidísimo. ¿Te gustaría probarla?","Panadería muy popular con más de 1,400 opiniones que opera exclusivamente en efectivo.",1409,4.7,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJA40yJvlTL4QRb1bxLfn-uq8,Tacos El Volcán,Guadalajara,"Calle Degollado Pte. 37 A, Centro, 45640 Tlajomulco de Zúñiga, Jal., Mexico",33 1422 2399,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Tacos El Volcán tiene más de 500 opiniones elogiando sus tacos y salsas, pero registran que solo aceptan efectivo. Con la terminal Konfío puedes cobrar con tarjeta rápido y evitar perder clientes en horas pico. ¿Te gustaría probarla?",Taquería de alto flujo con confirmación estructurada de cobro exclusivo en efectivo.,512,4.2,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJNYAwqpGTYoYROwC5_TNTI4g,Tacos La Palmas,Monterrey,"C. Villas de España 205, Roble Nuevo, 66055 Cdad. Gral. Escobedo, N.L., Mexico",81 8202 8155,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté que en Tacos La Palmas manejan un gran flujo de clientes y solo aceptan efectivo. Con la terminal de Konfío puedes recibir pagos con tarjeta al instante, evitar problemas con cambio y asegurar todas tus ventas. ¿Te platico más?",Taquería con alto volumen de reseñas y confirmación oficial de que solo acepta efectivo.,891,4.4,trc_01M1DFHV0XAZFFD2N2HRYT68Z3,1.0
ChIJB1lG_JLpYoYRwjAV0y55sAw,Panadería Las Margaritas,Monterrey,"Jacarandas 601, Las Margaritas 4to. Sector, 66647 Cdad. Apodaca, N.L., Mexico",81 1800 9935,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, Panadería Las Margaritas tiene más de 300 reseñas y gran clientela por sus donas. Como solo manejas efectivo, aceptar tarjeta con la terminal Konfío te permitirá atender más clientes en horas pico sin filas lentas. ¿Te mando información?",Panadería con alto volumen de reseñas (323) y confirmación estructurada de solo efectivo.,323,4.4,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJlctXFof50YURIBw4h_V-6xc,PANADERÍA CARRERA,Ciudad de México,"Gral. Martin Carrera Esquina Valentin Canalizo, Martín Carrera, Gustavo A. Madero, 07070 Ciudad de México, CDMX, Mexico",55 3738 0571,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que PANADERÍA CARRERA tiene más de 320 reseñas y buen flujo de venta de pan. Al cobrar únicamente con efectivo pierdes clientes de paso. Con la terminal Konfío aceptas tarjeta rápido y cobras al instante. ¿Te interesa recibir detalles?",Panadería con alto volumen de tráfico y confirmación de que solo acepta efectivo.,324,4.2,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJy-ZH6skczoURB4dy4INZk6A,El Puente,Ciudad de México,"Av. Tlahuac 4285, La Asunción, Tláhuac, 13010 Ciudad de México, CDMX, Mexico",55 5842 7096,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, El Puente es muy concurrido para desayunos con más de 500 reseñas. Al no recibir tarjetas de crédito ni débito puedes limitar el consumo promedio. Con la terminal Konfío cobras con tarjeta fácil y rápido. ¿Te gustaría revisarlo hoy?",Restaurante con casi 600 reseñas cuyos metadatos confirman explícitamente que no aceptan tarjetas.,588,4.3,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJwV58wiz80YURje0lQW3H95U,Pan y Pasteles PHL,Ciudad de México,"Ote. 112 2905, Bramadero Ramos Millán, Iztacalco, 08000 Ciudad de México, CDMX, Mexico",55 4346 2607,https://www.facebook.com/PanYPastelesPhl,5441,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté que en Pan y Pasteles PHL varios clientes batallan con el cambio en efectivo al comprar. Con la terminal Konfío aceptas pagos con tarjeta al instante y no pierdes ventas.",Pastelería con reseñas recurrentes de clientes frustrados por falta de cambio y confirmación de solo efectivo.,94,4.5,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJI22Pgsr80YURLITCWy2ym_w,Tacos El Guero Chuy,Ciudad de México,"Av. Dr. Gustavo Baz Manzana 017, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx., Mexico",55 9143 9099,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo la gran afluencia de Tacos El Guero Chuy con más de 800 opiniones, pero operan solo en efectivo. Con una terminal Konfío agilizas el cobro y aceptas tarjeta sin demoras.",Taquería con alto volumen de reseñas y confirmación técnica de operar solo en efectivo.,826,4.5,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJTRALWVGTYoYRHnqpE6TnLpU,Tacos La Papita 1,Monterrey,"Poder Popular 501, Paseo de Las Palmas ÌII, 66635 Cdad. Apodaca, N.L., Mexico",81 8464 4158,https://www.facebook.com/pages/Tacos-La-Papita/192668554126876,5814,Comida Rápida,confirmed_no_card,campo de Google: no acepta tarjetas de crédito,95,True,,"Hola, veo que en Tacos La Papita 1 tienen un éxito total con más de 2,400 opiniones pero no aceptan tarjetas. Con la terminal Konfío puedes cobrar con tarjeta rápido y no perder ventas. ¿Te interesa probarla?","Taquería de alto volumen (2,400+ reseñas) sin aceptación de tarjeta.",2427,4.3,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJwRvipMsezoURWS71GVyGB34,"Restaurante ""FU YUAN""",Ciudad de México,"Calle Hidalgo 15, Colonia centro, 56600 Chalco de Díaz Covarrubias, Méx., Mexico",55 5975 6619,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que tu buffet en Restaurante FU YUAN recibe muchísimos comensales pero solo aceptas efectivo. Con una terminal Konfío puedes cobrar rápido con tarjeta y agilizar la cuenta en cada mesa.","Restaurante buffet con alto volumen de reseñas (>500) operando únicamente en efectivo, prospecto de altísima prioridad.",515,4.0,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJp78VOnSdYoYR0CH7R6kPhJA,Tacos ANITA,Monterrey,"C. Elote 148, Los Nogales, 66006 García, N.L., Mexico",81 8192 7460,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo el gran movimiento en Tacos ANITA con más de 500 reseñas, pero figura que solo aceptas efectivo. Con la terminal Konfío puedes cobrar rápido con tarjeta, agilizar tus cuentas en horas pico y consolidar tu volumen de cobros fácilmente.",Taquería de alto flujo confirmada solo efectivo.,518,4.1,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJl6aXgNP90YURfeNd-bcXwmc,Roles Pan,Ciudad de México,"Av. Canal de Tezontle 820, Gabriel Ramos Millán, Iztacalco, 08020 Ciudad de México, CDMX, Mexico",55 5657 9330,,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Roles Pan tiene más de 600 reseñas y cafetería llena, pero aparece marcado solo efectivo. Con una terminal Konfío podrás cobrar pasteles y desayunos con tarjeta al instante, acelerando tu fila en caja y registrando todo tu volumen.",Panadería y cafetería con alto volumen confirmada solo efectivo.,632,4.2,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJDyvxIP0DzoURV735XOfKliQ,La Choza de María Candelaria,Ciudad de México,"Salir del Embarcadero de Belem hacia la Laguna de Xaltocan, Xaltocan, Xochimilco, 16090 Xochimlco, CDMX, Mexico",15546454313,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, noté el gran flujo de clientes en La Choza de María Candelaria y que solo recibes efectivo. Con la terminal Konfío puedes aceptar tarjetas y cobros sin contacto, agilizando las cuentas y aumentando el consumo promedio. ¿Te interesa recibir información sobre nuestras tasas?",Restaurante con alto volumen de reseñas y cobro exclusivamente en efectivo.,396,4.0,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJv9Qom14BzoURf8FvPVrZ0mA,Tacos Don Goyo 2,Ciudad de México,"16000 San Juan, Prol. Josefa Ortiz de Dominguez 16, San Juan, Xochimilco, 16000 Ciudad de México, CDMX, Mexico",55 5675 2577,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, vi que Tacos Don Goyo 2 tiene muchisimos clientes en Xochimilco y solo reciben efectivo. Con la terminal Konfio puedes cobrar rapidisimo con tarjeta y agilizar tu fila. Te muestro las comisiones?",Taqueria con alto volumen de resenas (273) y confirmada solo efectivo.,273,4.5,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJReDer0yyKIQR19Ky5OYXdyg,Croissants Alfredo,Guadalajara,"C. Juárez 120, Centro, 45500 San Pedro Tlaquepaque, Jal., Mexico",33 3838 5289,http://croissantsalfredo.com/,5462,Ventas al detalle (Retail),confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, felicidades por el éxito de Croissants Alfredo. Vi que solo manejan efectivo; con el alto flujo de clientes locales y turistas que tienen, aceptar tarjeta con la terminal Konfío agilizará sus filas y ventas. ¿Platicamos para enviarte una?",Panadería de altísimo volumen y afluencia turística confirmada solo en efectivo.,1209,4.5,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJG7gqku360YURoovBRNENmsY,Taqueria Los Güeros,Ciudad de México,"Valle Perdido 53, Valle de Aragon 3ra Secc, 55280 Ecatepec de Morelos, Méx., Mexico",55 5196 2381,,5812,Restaurantes,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, veo que Taqueria Los Güeros tiene más de mil opiniones y sólo aceptan efectivo. Con una terminal Konfío podrás cobrar rápido con tarjeta en horas pico, aumentando tus ventas y consolidando un historial sólido con tu gran volumen. ¿Te comparto opciones de contratación?",Taquería de alto tráfico con más de mil reseñas que opera únicamente en efectivo.,1180,4.3,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
ChIJmdxxCZX10YURiNo5YhVLGdE,Super Tortas la Michoacana,Ciudad de México,"Calle Amado Nervo 1C, Belem, 54900 Tultitlán de Mariano Escobedo, Méx., Mexico",55 5888 5112,,5814,Comida Rápida,confirmed_no_card,campo de Google: solo efectivo,95,True,,"Hola, en Super Tortas la Michoacana tienes cientos de comensales pero actualmente solo aceptas efectivo. Con una terminal Konfio puedes aceptar todas las tarjetas, reducir tiempos de cobro y respaldar tu gran volumen de ventas.",Negocio de comida rápida con altísimo volumen (466 reseñas) operando únicamente en efectivo.,466,4.2,trc_01M1DHHXTHDDBWSFK9FJN1PV33,1.0
