mcc,familia,descripcion,referencia
1799,Otros,CONTRATISTAS (DEMOLICIONES) (PERFORACION) (CRISTALES) (DECORACION) (NO CLASIFICADOS) (TAPICEROS),"Contratistas comerciales especiales que realizan el trabajo de construccion no a otra parte clasificado. Los ejemplos incluyen la instalacion del toldo, reacabado de la banera, construccion de la cerca, instalacion del escape del fuego, reemplazo de mudanza, colocacion de ventanas de casas, instalacion de la puerta del garage, trabajo ornamental del metal, construccion de la piscina, glasswork, el perforar del pozo, servicios del papel pintado, e impermeabilizando."
2741,Otros,PUBLICACIONES E IMPRESIONES EN GENERAL,"Los comerciantes dedicados en la impresion al por mayor, publicar, o encuadernacion. Los ejemplos de materiales producidos por tales comerciantes incluyen mapas y atlas, los boletines de noticias del negocio, los directorios, partituras, los patrones de papel, las guias tecnicas de los manuales y del papel, de telefonos, y los anuarios. Para los comerciantes que venden los libros, los folletos, y los materiales educativos, uso MCC 5192. Distribuidores y fabricantes al por mayor"
2791,Otros,"TIPOGRAFIAS, PLACAS, TRABAJOS SIMILARES","Comerciantes que realizan tipografiao para el comercio de impresion y hacen las placas para los propositos de impresion. Los ejemplos de tales servicios incluyen el anuncio que compone tipo, fotocomposicion, el componer tipo controlado por ordenador y las separaciones de colores; la produccion de los positivos y de las negativas de los cuales compense las placas litograficas y grabado o el realzar para los propositos de impresion, tales como grabado en la madera, el caucho, el cobre, el acero, o el fotograbado. Para los comerciantes que proporcionan sobre todo servicios al por mayor de impresion, uso MCC 2741. Distribuidores y fabricantes al por mayor"
2842,Otros,"LIMPIEZA ESPECIALIZADA, PULIDOS, Y SERVICIOS SANITARIOS","Fabricantes al por mayor de pulimentos, de soluciones de limpieza, de desinfectantes, y de otras preparaciones del saneamiento. Los productos para la venta pueden incluir desodorisantes nonpersonal, las preparaciones para el cuero fabricado y otros materiales, los removedores de la cera, los solventes que desengrasan, los productos quimicos de la limpieza en seco, los removedores del moho y de mancha, y las soluciones de la limpieza para el cristal, la pintura, o el papel pintado. Distribuidores y fabricantes al por mayor"
3000,Transporte Aéreo,UNITED AIRLINES,Lineas aereas
3001,Transporte Aéreo,AMERICAN AIRLINES,Lineas aereas
3002,Transporte Aéreo,PAN AMERICAN,Lineas aereas
3004,Transporte Aéreo,TRANS WORLD AIRLINES,Lineas aereas
3005,Transporte Aéreo,BRITISH AIRWAYS,Lineas aereas
3006,Transporte Aéreo,JAPAN AIR LINES,Lineas aereas
3007,Transporte Aéreo,AIR FRANCE,Lineas aereas
3008,Transporte Aéreo,LUFTHANSA,Lineas aereas
3009,Transporte Aéreo,AIR CANADA,Lineas aereas
3010,Transporte Aéreo,ROYAL DUTCH AIRLINES (KLM),Lineas aereas
3011,Transporte Aéreo,AEROFLOT,Lineas aereas
3012,Transporte Aéreo,QUANTAS,Lineas aereas
3013,Transporte Aéreo,ALITALIA,Lineas aereas
3014,Transporte Aéreo,SAUDI ARABIAN AIRLINES,Lineas aereas
3015,Transporte Aéreo,SWISSAIR,Lineas aereas
3016,Transporte Aéreo,SCANDINAVIAN AIRLINES SYSTEM (SAS),Lineas aereas
3017,Transporte Aéreo,SOUTN AFRICAN AIRWAYS,Lineas aereas
3018,Transporte Aéreo,VARIG (BRAZIL),Lineas aereas
3020,Transporte Aéreo,AIR INDIA,Lineas aereas
3021,Transporte Aéreo,AIR ALGERIE,Lineas aereas
3022,Transporte Aéreo,PHILIPPINE AIRLINES,Lineas aereas
3023,Transporte Aéreo,MEXICANA,Lineas aereas
3024,Transporte Aéreo,PAKISTAN INTERNATIONAL,Lineas aereas
3025,Transporte Aéreo,AIR NEW ZEALAND LIMITED INTERNATIONAL,Lineas aereas
3026,Transporte Aéreo,EMIRATES AIRLINES,Lineas aereas
3027,Transporte Aéreo,UNION DE TRANSPORTS AERIENS,Lineas aereas
3028,Transporte Aéreo,AIR MALTA,Lineas aereas
3029,Transporte Aéreo,SABENA,Lineas aereas
3030,Transporte Aéreo,AEROLINEAS ARGENTINAS,Lineas aereas
3031,Transporte Aéreo,OLYMPIC AIRWAYS,Lineas aereas
3032,Transporte Aéreo,EL AL,Lineas aereas
3033,Transporte Aéreo,ANSETT AIRLINES,Lineas aereas
3034,Transporte Aéreo,AUSTRALIAN AIRWAYS(TAA),Lineas aereas
3035,Transporte Aéreo,TAP (PORTUGAL),Lineas aereas
3036,Transporte Aéreo,VASP (BRAZIL),Lineas aereas
3037,Transporte Aéreo,EGYPTAIR,Lineas aereas
3038,Transporte Aéreo,KUWAIT AIRWAYS,Lineas aereas
3039,Transporte Aéreo,AVIANCA,Lineas aereas
3040,Transporte Aéreo,GULF AIR (BAHRAIN),Lineas aereas
3041,Transporte Aéreo,BALKAN-BULGARIAN AIRLINES,Lineas aereas
3042,Transporte Aéreo,FINNAIR,Lineas aereas
3043,Transporte Aéreo,AER LINGUS,Lineas aereas
3044,Transporte Aéreo,AIR LANKA,Lineas aereas
3045,Transporte Aéreo,NIGERIA AIRWAYS,Lineas aereas
3046,Transporte Aéreo,CRUZEIRO DO SUL (BRAZIL),Lineas aereas
3047,Transporte Aéreo,THY (TURKEY),Lineas aereas
3048,Transporte Aéreo,ROYAL AIR MAROC,Lineas aereas
3049,Transporte Aéreo,TUNIS AIR,Lineas aereas
3050,Transporte Aéreo,ICELANDAIR,Lineas aereas
3051,Transporte Aéreo,AUSTRIAN AIRLINES,Lineas aereas
3052,Transporte Aéreo,LAN-CHILE,Lineas aereas
3053,Transporte Aéreo,AVIACO (SPAIN),Lineas aereas
3054,Transporte Aéreo,LADECO(CHILE),Lineas aereas
3055,Transporte Aéreo,LAB (BOLIVIA),Lineas aereas
3056,Transporte Aéreo,QUEBECAIRE,Lineas aereas
3057,Transporte Aéreo,EAST-WEST AIRLINES (AUSTRALIA),Lineas aereas
3058,Transporte Aéreo,DELTA,Lineas aereas
3060,Transporte Aéreo,NORHWEST AIRLINES,Lineas aereas
3061,Transporte Aéreo,CONTINENTAL,Lineas aereas
3063,Transporte Aéreo,U.S. AIR,Lineas aereas
3064,Transporte Aéreo,ADRIA AIRWAYS ADRIA AIR,ADRIA AIRWAYS ADRIA AIR
3065,Transporte Aéreo,AIR INTER,Lineas aereas
3066,Transporte Aéreo,SOUTHWEST AIRLINE,Lineas aereas
3067,Transporte Aéreo,VANGUARD AIRLINES VANGUARD AIR,VANGUARD AIRLINES VANGUARD AIR
3071,Transporte Aéreo,AIR BRITISH COLUMBIAS,Lineas aereas
3075,Transporte Aéreo,SINGAPORE AIRLINES,Lineas aereas
3076,Transporte Aéreo,AEROMEXICO,Lineas aereas
3077,Transporte Aéreo,THAI AIRWAYS,Lineas aereas
3078,Transporte Aéreo,CHINA AIRLINES,Lineas aereas
3081,Transporte Aéreo,NORDAIR,Lineas aereas
3082,Transporte Aéreo,KOREAN AIRLINES,Lineas aereas
3083,Transporte Aéreo,AIR AFRIQUE,Lineas aereas
3084,Transporte Aéreo,EVA AIRWAYS,Lineas aereas
3085,Transporte Aéreo,MIDWEST EXPRESS AIRLINES,Lineas aereas
3086,Transporte Aéreo,CARNIVAL AIRLINES,Lineas aereas
3087,Transporte Aéreo,METRO AIRLINES,Lineas aereas
3088,Transporte Aéreo,CROATIA AIRWAYS,Lineas aereas
3089,Transporte Aéreo,TRANSAERO,Lineas aereas
3090,Transporte Aéreo,UNI AIRWAYS CORPORATION UNIAIR,UNI AIRWAYS CORPORATION UNIAIR
3094,Transporte Aéreo,ZAMBIA AIRWAYS,Lineas aereas
3096,Transporte Aéreo,AIR ZIMBABWE,Lineas aereas
3097,Transporte Aéreo,SPANAIR SPANAIR,SPANAIR SPANAIR
3098,Transporte Aéreo,ASIANA AIRLINES ASIANA AIR,ASIANA AIRLINES ASIANA AIR
3099,Transporte Aéreo,CATHAY PACIFIC,Lineas aereas
3100,Transporte Aéreo,MALAYSIAN AIRLINE SYSTEM,Lineas aereas
3102,Transporte Aéreo,IBERIA,Lineas aereas
3103,Transporte Aéreo,GARUDA (INDONESIA),Lineas aereas
3106,Transporte Aéreo,BRAATHERIS S.A.F.E (NORWAY),Lineas aereas
3110,Transporte Aéreo,WINGS AIRWAYS,Lineas aereas
3111,Transporte Aéreo,BRITISH MIDLAND,Lineas aereas
3112,Transporte Aéreo,WINDWARD ISLAND,Lineas aereas
3115,Transporte Aéreo,TOWER AIR TOWERAIR,TOWER AIR TOWERAIR
3117,Transporte Aéreo,VENEZOLANA INTERNACIONAL DE AVIACION,Lineas aereas
3118,Transporte Aéreo,VALLEY AIRLINES,Lineas aereas
3125,Transporte Aéreo,TAN AIRLINES,Lineas aereas
3126,Transporte Aéreo,TALAIR,Lineas aereas
3127,Transporte Aéreo,TACA INTERNATIONAL,Lineas aereas
3129,Transporte Aéreo,SURINAM AIRWAYS,Lineas aereas
3130,Transporte Aéreo,SUNWORLD INTERNATINAL AIRWAYS,Lineas aereas
3132,Transporte Aéreo,FRONTIER AIRLINES FRONTIER AIR,FRONTIER AIRLINES FRONTIER AIR
3133,Transporte Aéreo,SUNBELT AIRLINES,Lineas aereas
3135,Transporte Aéreo,SUDAN AIRWAYS,Lineas aereas
3136,Transporte Aéreo,QATAR AIRWAYS QATAR AIR,QATAR AIRWAYS QATAR AIR
3137,Transporte Aéreo,SINGLETON AIR,Lineas aereas
3138,Transporte Aéreo,SIMMONS AIRLINES,Lineas aereas
3143,Transporte Aéreo,SCENIC AIRLINES,Lineas aereas
3144,Transporte Aéreo,VIRGIN ATLANTIC,Lineas aereas
3145,Transporte Aéreo,SAN JUAN AIRLINES,Lineas aereas
3146,Transporte Aéreo,LUXAIR,Lineas aereas
3148,Transporte Aéreo,AIR LITTORAL S.A. AIRLITTORAL,AIR LITTORAL S.A. AIRLITTORAL
3151,Transporte Aéreo,AIR ZAIRE,Lineas aereas
3154,Transporte Aéreo,PRINCEVILLE,Lineas aereas
3156,Transporte Aéreo,"GO FLY, LTD GOFLY","GO FLY, LTD GOFLY"
3159,Transporte Aéreo,PROVICENTOWN-BOSTON AIRWAYS,Lineas aereas
3161,Transporte Aéreo,ALL NIPPON AIRWAYS,Lineas aereas
3164,Transporte Aéreo,NORONTAIR,Lineas aereas
3165,Transporte Aéreo,NEW YORK HELICOPTER,Lineas aereas
3167,Transporte Aéreo,AEROCONTINENTE AEROCONTINEN,AEROCONTINENTE AEROCONTINEN
3170,Transporte Aéreo,MOUNT COOK,Lineas aereas
3171,Transporte Aéreo,CANADIAN AIRLINES,Lineas aereas
3172,Transporte Aéreo,NATION AIR,Lineas aereas
3174,Transporte Aéreo,JETBLUE AIRWAYS JETBLUE,JETBLUE AIRWAYS JETBLUE
3175,Transporte Aéreo,MIDDLE EAST AIR,Lineas aereas
3176,Transporte Aéreo,METROFLIGHT AIRLINES,Lineas aereas
3177,Transporte Aéreo,AIRTRAN AIRWAYS AIRTRANAIR,AIRTRAN AIRWAYS AIRTRANAIR
3178,Transporte Aéreo,MESA AIR,Lineas aereas
3180,Transporte Aéreo,A WESTJET AIRLINES WESTJETAIR,A WESTJET AIRLINES WESTJETAIR
3181,Transporte Aéreo,MALEV HUNGARIAN AIRLINES,Lineas aereas
3182,Transporte Aéreo,LOT- POLISH AIRLINES,Lineas aereas
3183,Transporte Aéreo,A OMAN AVIATION SERVICES OMANAIR,A OMAN AVIATION SERVICES OMANAIR
3184,Transporte Aéreo,LIAT,Lineas aereas
3185,Transporte Aéreo,LAV LINEA AEROPOSTAL VENEZOLANA,Lineas aereas
3186,Transporte Aéreo,LAP LINEAS AEREAS PARAGUAYAS,Lineas aereas
3187,Transporte Aéreo,LACSA (COSTA RICA),Lineas aereas
3188,Transporte Aéreo,A VIRGIN EXPRESS VIRGINEXPAIR,A VIRGIN EXPRESS VIRGINEXPAIR
3190,Transporte Aéreo,JUGOSLAV AIR,Lineas aereas
3191,Transporte Aéreo,ISLAND AIRLINES,Lineas aereas
3192,Transporte Aéreo,IRAN AIR,Lineas aereas
3193,Transporte Aéreo,INDIAN AIRLINES,Lineas aereas
3196,Transporte Aéreo,HAWAIIAN AIR,Lineas aereas
3197,Transporte Aéreo,HAVASU AIRLINESS,Lineas aereas
3200,Transporte Aéreo,GUYANA AIRWAYS,Lineas aereas
3203,Transporte Aéreo,GOLDEN PACIFIC AIR,Lineas aereas
3204,Transporte Aéreo,FREEDOM AIRLINES,Lineas aereas
3206,Transporte Aéreo,CHINA EASTERN AIRLINES CHINEASTAIR,CHINA EASTERN AIRLINES CHINEASTAIR
3211,Transporte Aéreo,A NORWEGIAN AIR SHUTTLE NORWEGIANAIR,A NORWEGIAN AIR SHUTTLE NORWEGIANAIR
3212,Transporte Aéreo,DOMINICANA DE AVIACION,Lineas aereas
3213,Transporte Aéreo,* A MALMO AVIATION MALMO AIR,* A MALMO AVIATION MALMO AIR
3215,Transporte Aéreo,DAN AIR SERVICES,Lineas aereas
3216,Transporte Aéreo,CUMBERLAND AIRLINES,Lineas aereas
3217,Transporte Aéreo,CSA CESKOSLOVENSKE AEROLINIE,Lineas aereas
3218,Transporte Aéreo,CROWN AIR,Lineas aereas
3219,Transporte Aéreo,COMPAÑIA PANAMEÑA DE AVIACION(COPA),Lineas aereas
3220,Transporte Aéreo,COMPAÑIA FAUCETT,Lineas aereas
3221,Transporte Aéreo,TRANSPORTES AEROS MILITARES ECUATORIANOS,Lineas aereas
3222,Transporte Aéreo,COMMAND AIRWAYS,Lineas aereas
3223,Transporte Aéreo,COMAIR,Lineas aereas
3226,Transporte Aéreo,* A SKYWAYS SKYWAYS AIR,* A SKYWAYS SKYWAYS AIR
3228,Transporte Aéreo,CAYMAN AIRWAYS,Lineas aereas
3229,Transporte Aéreo,SAETA (SOCIEDAD ECUATORIANA DE TRANSPORTE AEREO),Lineas aereas
3231,Transporte Aéreo,SAHSA (SERVICIO AERO DE HONDURAS),Lineas aereas
3233,Transporte Aéreo,CAPITOL AIR,Lineas aereas
3234,Transporte Aéreo,BWIA INTERNATIONAL,Lineas aereas
3235,Transporte Aéreo,BROCKWAY AIR,Lineas aereas
3236,Transporte Aéreo,* A AIR ARABIA AIRLINE AIRARABIAAIR,* A AIR ARABIA AIRLINE AIRARABIAAIR
3238,Transporte Aéreo,BEMIDJI AIRLINES,Lineas aereas
3239,Transporte Aéreo,BAR HARBOR AIRLINES,Lineas aereas
3240,Transporte Aéreo,BAHAMASAIR,Lineas aereas
3241,Transporte Aéreo,AVIATECA (GUATEMALA),Lineas aereas
3242,Transporte Aéreo,AVENSA,Lineas aereas
3243,Transporte Aéreo,AUSTRIAN AIR SERVICE,Lineas aereas
3245,Transporte Aéreo,* A EASYJET EASYJET AIR,* A EASYJET EASYJET AIR
3246,Transporte Aéreo,* A RYANAIR RYANAIR,* A RYANAIR RYANAIR
3247,Transporte Aéreo,* A GOL AIRLINES GOL AIR,* A GOL AIRLINES GOL AIR
3248,Transporte Aéreo,* A TAM AIRLINES TAM AIR,* A TAM AIRLINES TAM AIR
3251,Transporte Aéreo,ALOHA AIRLINES,Lineas aereas
3252,Transporte Aéreo,ALM ANTILEAN AIRLINES,Lineas aereas
3253,Transporte Aéreo,AMERICAN WEST,Lineas aereas
3254,Transporte Aéreo,TRUMP AIRLINE,Lineas aereas
3256,Transporte Aéreo,ALASKA AILINES INC,Lineas aereas
3259,Transporte Aéreo,AMERICAN TRANS AIR,Lineas aereas
3260,Transporte Aéreo,* A SPIRIT AIRLINES SPIRIT AIR,* A SPIRIT AIRLINES SPIRIT AIR
3261,Transporte Aéreo,AIR CHINA,Lineas aereas
3262,Transporte Aéreo,RENO AIR INC,Lineas aereas
3263,Transporte Aéreo,AERO SERVICIO CARABOBO,Lineas aereas
3266,Transporte Aéreo,AIR SEYCHELLES,Lineas aereas
3267,Transporte Aéreo,AIR PANAMA INTERNATINAL,Lineas aereas
3280,Transporte Aéreo,AIR JAMAICA,Lineas aereas
3282,Transporte Aéreo,AIR DJIBOUTI,Lineas aereas
3284,Transporte Aéreo,AERO VIRGIN ISLANDS,Lineas aereas
3285,Transporte Aéreo,AERO PERU,Lineas aereas
3286,Transporte Aéreo,AERO NICARAGUENSES,Lineas aereas
3287,Transporte Aéreo,AERO COACH AVIATION,Lineas aereas
3292,Transporte Aéreo,CYPRUS AIRWAYS,Lineas aereas
3293,Transporte Aéreo,ECUATORIANA,Lineas aereas
3294,Transporte Aéreo,ETHIOPIAN AIRLINES,Lineas aereas
3295,Transporte Aéreo,KENYA AIRWAYS,Lineas aereas
3297,Transporte Aéreo,TAROM ROMANIAN AIR,TAROM ROMANIAN AIR
3298,Transporte Aéreo,AIR MAURITIUS,Lineas aereas
3299,Transporte Aéreo,WIDEROES FLYVESELSKAP,Lineas aereas
3351,Renta de Autos,RENTA DE AUTOS CON MEMBRESIA,Agencias De un Alquiler de coches
3352,Renta de Autos,AMERICAN INTERNATIONAL,Agencias De un Alquiler de coches
3353,Renta de Autos,BROOKS RENT-A-CAR,Agencias De un Alquiler de coches
3354,Renta de Autos,ACTION AUTO RENTAL,Agencias De un Alquiler de coches
3357,Renta de Autos,HERTZ CORPORATION,Agencias De un Alquiler de coches
3359,Renta de Autos,PAYLESS CAR RENTAL,Agencias De un Alquiler de coches
3360,Renta de Autos,SNAPPY CAR RENTAL,Agencias De un Alquiler de coches
3361,Renta de Autos,AIRWAYS RENT-A-CAR,Agencias De un Alquiler de coches
3362,Renta de Autos,ALTRA AUTO RENTAL,Agencias De un Alquiler de coches
3364,Renta de Autos,AGENCY RENT-A-CAR,Agencias De un Alquiler de coches
3366,Renta de Autos,BUDGET RENT-A-CAR,Agencias De un Alquiler de coches
3368,Renta de Autos,HOLIDAY RENT-A-CAR,Agencias De un Alquiler de coches
3370,Renta de Autos,RENT A WRECK,Agencias De un Alquiler de coches
3374,Renta de Autos,ACCENT RENT-A-CAR,ACCENT RENT-A-CAR
3376,Renta de Autos,AJAX RENT-A-CAR,Agencias De un Alquiler de coches
3380,Renta de Autos,TRIANGLE RENT-A-CAR,TRIANGLE RENT-A-CAR
3381,Renta de Autos,EUROP CAR,Agencias De un Alquiler de coches
3385,Renta de Autos,TROPICAL RENT-A-CAR,Agencias De un Alquiler de coches
3386,Renta de Autos,SHOWCASE RENTAL CARS,Agencias De un Alquiler de coches
3387,Renta de Autos,ALAMO RENT-A-CAR,Agencias De un Alquiler de coches
3388,Renta de Autos,MERCHANTS RENT-A-CAR,MERCHANTS RENT-A-CAR
3389,Renta de Autos,AVIS RENT-A-CAR,Agencias De un Alquiler de coches
3390,Renta de Autos,DOLLAR RENT-A-CAR,Agencias De un Alquiler de coches
3391,Renta de Autos,EUROPE BY CAR,Agencias De un Alquiler de coches
3393,Renta de Autos,NATIONAL CAR RENTAL,Agencias De un Alquiler de coches
3394,Renta de Autos,KEMWELL GROUP RENT-A-CAR,Agencias De un Alquiler de coches
3395,Renta de Autos,THRIFTY RENT-A-CAR,Agencias De un Alquiler de coches
3396,Renta de Autos,TILDEN RENT-A-CAR,Agencias De un Alquiler de coches
3398,Renta de Autos,ECONO CAR RENT-A-CAR,Agencias De un Alquiler de coches
3400,Renta de Autos,AUTO HOST CAR RENTAL,Agencias De un Alquiler de coches
3405,Renta de Autos,ENTERPRICE RENT-A-CAR,Agencias De un Alquiler de coches
3409,Renta de Autos,GENERAL RENT-A-CAR,Agencias De un Alquiler de coches
3412,Renta de Autos,A1 RENT-A-CAR,Agencias De un Alquiler de coches
3414,Renta de Autos,GODFREY NATIONAL RENT-A-CAR,Agencias De un Alquiler de coches
3420,Renta de Autos,ANSA INTERNATIONAL,Agencias De un Alquiler de coches
3421,Renta de Autos,ALLSTATE RENT-A-CAR,Agencias De un Alquiler de coches
3423,Renta de Autos,AVCAR RENT-A-CAR,Agencias De un Alquiler de coches
3425,Renta de Autos,AUTOMATE RENT-A-CAR,Agencias De un Alquiler de coches
3427,Renta de Autos,AVON RENT-A-CAR,Agencias De un Alquiler de coches
3428,Renta de Autos,CAREY RENT-A-CAR,Agencias De un Alquiler de coches
3429,Renta de Autos,INSURANCE RENT-A-CAR,Agencias De un Alquiler de coches
3430,Renta de Autos,MAJOR RENT-A-CAR,Agencias De un Alquiler de coches
3431,Renta de Autos,REPLACEMENT RENT-A-CAR,Agencias De un Alquiler de coches
3432,Renta de Autos,RESERVE RENT-A-CAR,Agencias De un Alquiler de coches
3433,Renta de Autos,UGLY DUCKLING RENT-A-CAR,Agencias De un Alquiler de coches
3434,Renta de Autos,USA RENT-A-CAR,Agencias De un Alquiler de coches
3435,Renta de Autos,VALUE RENT-A-CAR,Agencias De un Alquiler de coches
3436,Renta de Autos,AUTOHANSA RENT-A-CAR,Agencias De un Alquiler de coches
3437,Renta de Autos,CITE RENT-A-CAR,Agencias De un Alquiler de coches
3438,Renta de Autos,INTERENT RENT-A-CAR,Agencias De un Alquiler de coches
3439,Renta de Autos,MILLEVILLE RENT-A-CAR,Agencias De un Alquiler de coches
3441,Renta de Autos,ADVANTAGE RENT-A-CAR,ADVANTAGE RENT-A-CAR
3501,Hoteles,"HOLIDAY INNS, (HOLIDAY INNS EXPRESS)","Alojamiento De H -- Hoteles, Moteles, Recursos"
3502,Hoteles,BEST WESTERN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3503,Hoteles,SHERATON HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3504,Hoteles,HILTON HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3505,Hoteles,FORTE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3506,Hoteles,GOLDEN TULIP HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3507,Hoteles,FRIENDSHIP INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3508,Hoteles,"QUALITY INNS, (QUALITY SUITES)","Alojamiento De H -- Hoteles, Moteles, Recursos"
3509,Hoteles,MARRIOTT HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3510,Hoteles,DAYS INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3511,Hoteles,ARABELLA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3512,Hoteles,INTERCONTINENTAL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3513,Hoteles,WESTIN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3514,Hoteles,AMERISUITES,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3515,Hoteles,RODEWAY INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3516,Hoteles,LA QUINTA MOTOR INNS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3517,Hoteles,AMERICAN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3518,Hoteles,SOL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3519,Hoteles,PULLMAN INTERNATIONAL HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3520,Hoteles,MERIDIEN HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3521,Hoteles,D ROYAL LAHAINA RESORTS,D ROYAL LAHAINA RESORTS
3521,Hoteles,D ROYAL LAHAINA RESORTS,D ROYAL LAHAINA RESORTS
3522,Hoteles,TOKYO HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3523,Hoteles,PENINSULA HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3524,Hoteles,WELCOMGROUP HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3525,Hoteles,DUNFEY HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3526,Hoteles,PRINCE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3527,Hoteles,DOWNTOWNER PASSPORT,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3528,Hoteles,"RED LION INNS, (THUNDERBIRD HOTELS), (RED LION HOTELS)","Alojamiento De H -- Hoteles, Moteles, Recursos"
3529,Hoteles,CP (CANADIAN PACIFIC) HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
3530,Hoteles,RENAISSANCE HOTELS,"Alojamiento De H -- Hoteles, Moteles, Recursos"
